product_category_name,order_purchase_timestamp,order_quantity
casa_construcao,2017-09-08,1
casa_construcao,2017-09-13,2
casa_construcao,2017-09-14,3
casa_construcao,2017-09-15,1
casa_construcao,2017-09-17,1
casa_construcao,2017-09-23,1
casa_construcao,2017-09-27,1
casa_construcao,2017-09-29,1
casa_construcao,2017-10-02,1
casa_construcao,2017-10-06,3
casa_construcao,2017-10-08,1
casa_construcao,2017-10-09,2
casa_construcao,2017-10-10,1
casa_construcao,2017-10-12,1
casa_construcao,2017-10-14,1
casa_construcao,2017-10-15,2
casa_construcao,2017-10-17,1
casa_construcao,2017-10-21,1
casa_construcao,2017-10-23,1
casa_construcao,2017-10-25,3
casa_construcao,2017-11-05,1
casa_construcao,2017-11-09,1
casa_construcao,2017-11-10,1
casa_construcao,2017-11-11,1
casa_construcao,2017-11-14,2
casa_construcao,2017-11-15,2
casa_construcao,2017-11-16,2
casa_construcao,2017-11-18,1
casa_construcao,2017-11-19,1
casa_construcao,2017-11-21,2
casa_construcao,2017-11-23,2
casa_construcao,2017-11-24,9
casa_construcao,2017-11-25,1
casa_construcao,2017-11-26,5
casa_construcao,2017-11-27,5
casa_construcao,2017-11-28,2
casa_construcao,2017-12-01,2
casa_construcao,2017-12-03,4
casa_construcao,2017-12-05,3
casa_construcao,2017-12-06,3
casa_construcao,2017-12-07,2
casa_construcao,2017-12-08,2
casa_construcao,2017-12-10,1
casa_construcao,2017-12-11,3
casa_construcao,2017-12-12,2
casa_construcao,2017-12-13,2
casa_construcao,2017-12-14,3
casa_construcao,2017-12-15,2
casa_construcao,2017-12-16,1
casa_construcao,2017-12-18,1
casa_construcao,2017-12-20,3
casa_construcao,2017-12-27,3
casa_construcao,2017-12-29,2
casa_construcao,2018-01-03,2
casa_construcao,2018-01-04,2
casa_construcao,2018-01-08,3
casa_construcao,2018-01-09,1
casa_construcao,2018-01-10,1
casa_construcao,2018-01-11,3
casa_construcao,2018-01-12,1
casa_construcao,2018-01-13,3
casa_construcao,2018-01-14,1
casa_construcao,2018-01-15,3
casa_construcao,2018-01-17,5
casa_construcao,2018-01-19,1
casa_construcao,2018-01-20,1
casa_construcao,2018-01-22,3
casa_construcao,2018-01-23,4
casa_construcao,2018-01-25,2
casa_construcao,2018-01-26,2
casa_construcao,2018-01-28,2
casa_construcao,2018-01-29,2
casa_construcao,2018-02-01,1
casa_construcao,2018-02-03,1
casa_construcao,2018-02-04,2
casa_construcao,2018-02-05,1
casa_construcao,2018-02-07,1
casa_construcao,2018-02-09,2
casa_construcao,2018-02-10,2
casa_construcao,2018-02-11,1
casa_construcao,2018-02-14,2
casa_construcao,2018-02-15,1
casa_construcao,2018-02-16,1
casa_construcao,2018-02-17,1
casa_construcao,2018-02-18,1
casa_construcao,2018-02-19,1
casa_construcao,2018-02-20,2
casa_construcao,2018-02-22,1
casa_construcao,2018-02-24,4
casa_construcao,2018-02-25,1
casa_construcao,2018-02-26,2
casa_construcao,2018-02-27,11
casa_construcao,2018-03-01,2
casa_construcao,2018-03-02,3
casa_construcao,2018-03-03,1
casa_construcao,2018-03-05,1
casa_construcao,2018-03-06,1
casa_construcao,2018-03-08,1
casa_construcao,2018-03-10,1
casa_construcao,2018-03-11,1
casa_construcao,2018-03-12,1
casa_construcao,2018-03-13,1
casa_construcao,2018-03-17,1
casa_construcao,2018-03-18,2
casa_construcao,2018-03-19,1
casa_construcao,2018-03-20,2
casa_construcao,2018-03-21,2
casa_construcao,2018-03-22,7
casa_construcao,2018-03-24,2
casa_construcao,2018-03-25,1
casa_construcao,2018-03-26,1
casa_construcao,2018-03-27,4
casa_construcao,2018-03-28,1
casa_construcao,2018-03-29,1
casa_construcao,2018-03-30,2
casa_construcao,2018-03-31,4
casa_construcao,2018-04-02,2
casa_construcao,2018-04-03,5
casa_construcao,2018-04-04,1
casa_construcao,2018-04-05,3
casa_construcao,2018-04-06,2
casa_construcao,2018-04-07,4
casa_construcao,2018-04-09,1
casa_construcao,2018-04-10,1
casa_construcao,2018-04-11,4
casa_construcao,2018-04-12,1
casa_construcao,2018-04-13,2
casa_construcao,2018-04-15,7
casa_construcao,2018-04-16,4
casa_construcao,2018-04-17,3
casa_construcao,2018-04-18,1
casa_construcao,2018-04-19,5
casa_construcao,2018-04-21,4
casa_construcao,2018-04-22,4
casa_construcao,2018-04-23,7
casa_construcao,2018-04-24,1
casa_construcao,2018-04-25,3
casa_construcao,2018-04-26,3
casa_construcao,2018-04-27,2
casa_construcao,2018-04-28,2
casa_construcao,2018-04-29,3
casa_construcao,2018-04-30,1
casa_construcao,2018-05-01,3
casa_construcao,2018-05-02,3
casa_construcao,2018-05-03,4
casa_construcao,2018-05-05,2
casa_construcao,2018-05-06,2
casa_construcao,2018-05-07,9
casa_construcao,2018-05-11,3
casa_construcao,2018-05-12,1
casa_construcao,2018-05-13,4
casa_construcao,2018-05-14,3
casa_construcao,2018-05-15,3
casa_construcao,2018-05-17,2
casa_construcao,2018-05-18,3
casa_construcao,2018-05-19,2
casa_construcao,2018-05-20,3
casa_construcao,2018-05-21,3
casa_construcao,2018-05-22,3
casa_construcao,2018-05-23,6
casa_construcao,2018-05-24,1
casa_construcao,2018-05-25,1
casa_construcao,2018-05-26,3
casa_construcao,2018-05-27,1
casa_construcao,2018-05-28,4
casa_construcao,2018-05-29,3
casa_construcao,2018-05-30,5
casa_construcao,2018-05-31,2
casa_construcao,2018-06-01,4
casa_construcao,2018-06-02,3
casa_construcao,2018-06-03,3
casa_construcao,2018-06-04,2
casa_construcao,2018-06-05,2
casa_construcao,2018-06-06,6
casa_construcao,2018-06-08,3
casa_construcao,2018-06-09,1
casa_construcao,2018-06-10,4
casa_construcao,2018-06-11,6
casa_construcao,2018-06-13,3
casa_construcao,2018-06-14,2
casa_construcao,2018-06-15,1
casa_construcao,2018-06-16,2
casa_construcao,2018-06-17,2
casa_construcao,2018-06-18,4
casa_construcao,2018-06-19,4
casa_construcao,2018-06-23,3
casa_construcao,2018-06-24,5
casa_construcao,2018-06-25,4
casa_construcao,2018-06-26,5
casa_construcao,2018-06-27,1
casa_construcao,2018-06-28,1
casa_construcao,2018-07-01,2
casa_construcao,2018-07-02,3
casa_construcao,2018-07-03,1
casa_construcao,2018-07-04,2
casa_construcao,2018-07-05,3
casa_construcao,2018-07-06,2
casa_construcao,2018-07-07,1
casa_construcao,2018-07-08,1
casa_construcao,2018-07-09,1
casa_construcao,2018-07-10,1
casa_construcao,2018-07-11,3
casa_construcao,2018-07-12,2
casa_construcao,2018-07-14,3
casa_construcao,2018-07-15,1
casa_construcao,2018-07-16,1
casa_construcao,2018-07-17,2
casa_construcao,2018-07-18,2
casa_construcao,2018-07-19,3
casa_construcao,2018-07-20,3
casa_construcao,2018-07-21,2
casa_construcao,2018-07-22,2
casa_construcao,2018-07-23,3
casa_construcao,2018-07-24,6
casa_construcao,2018-07-25,3
casa_construcao,2018-07-26,1
casa_construcao,2018-07-27,2
casa_construcao,2018-07-29,3
casa_construcao,2018-07-30,1
casa_construcao,2018-07-31,1
casa_construcao,2018-08-01,1
casa_construcao,2018-08-03,1
casa_construcao,2018-08-05,10
casa_construcao,2018-08-06,8
casa_construcao,2018-08-07,3
casa_construcao,2018-08-08,4
casa_construcao,2018-08-09,3
casa_construcao,2018-08-10,3
casa_construcao,2018-08-11,2
casa_construcao,2018-08-13,5
